time_s,trunk_pelvis_x_deg,trunk_pelvis_y_deg,trunk_pelvis_z_deg,lumbar_x_deg,lumbar_y_deg,lumbar_z_deg,chest_z_deg,lumbar_omega_dps,chest_omega_dps,left_knee_x_est_deg,left_knee_y_est_deg,left_knee_z_est_deg,right_knee_x_est_deg,right_knee_y_est_deg,right_knee_z_est_deg,left_ankle_x_est_deg,left_ankle_y_est_deg,left_ankle_z_est_deg,right_ankle_x_est_deg,right_ankle_y_est_deg,right_ankle_z_est_deg,left_shoulder_x_est_deg,left_shoulder_y_est_deg,left_shoulder_z_est_deg,right_shoulder_x_est_deg,right_shoulder_y_est_deg,right_shoulder_z_est_deg,left_elbow_x_est_deg,left_elbow_y_est_deg,left_elbow_z_est_deg,right_elbow_x_est_deg,right_elbow_y_est_deg,right_elbow_z_est_deg,left_hip_x_est_deg,left_hip_y_est_deg,left_hip_z_est_deg,right_hip_x_est_deg,right_hip_y_est_deg,right_hip_z_est_deg
0.0,1.551285555728969,0.8259283986478927,-1.9190152420215378,-0.6441213704174323,-0.06934264230245978,-0.287744878203408,-2.220651431969839,0.3850578251276547,0.6858874674254742,2.8112069522992007,0.6739194751537749,1.942231319746236,1.9714716418165856,-0.38991936958646095,-0.4786087906204907,-1.1105076760695163,-0.8932321913162335,0.4152084259904224,-1.1986451954377473,0.057233122327100365,-0.12685944674124072,-2.1671318475670063,-1.277737646705682,-1.4211892249137745,0.904556592301421,0.8308354622763028,-0.14761832562960886,1.5186893946134303,0.4556060634432162,-0.3285956003254929,-4.5251990544743705,0.28825932438347307,0.48957022092739055,-1.0057592251719707,-0.17425176564776482,-2.083255756741724,0.022580249220111415,0.40431772638103347,0.6421643754529779
0.02,1.5579321112042421,0.7911357038221855,-1.9285915025814975,-0.5583449044521569,-0.07904772363920864,-0.2866916121567218,-2.2276863948200387,0.7751722507104168,1.0216989041367035,2.9346710909702045,0.7196824426388343,1.9576253897857392,2.022986151150361,-0.4317485297049749,-0.47159028574026557,-1.151714857546462,-0.8885054313990137,0.4115242865283837,-1.263322152069062,0.08335725583115276,-0.1332658585902471,-2.1539883745164747,-1.2233276993833133,-1.3673453535188962,0.9703351689694432,0.8380053088226966,-0.1805496409640735,1.454662720727039,0.46242143637663063,-0.34294037640985314,-4.5947680260133295,0.342956998660679,0.4175466064781271,-1.1660975550889274,-0.24304127381839083,-2.0901733452777194,-0.0707330703135503,0.4460428583239057,0.6376275327654345
0.04,1.583164338443282,0.778519146422953,-1.9395899119624858,-0.49293960341398496,-0.0901756492493563,-0.2839898753997251,-2.234996740236744,0.9832150101562253,1.1523921900920857,2.971789280316291,0.7449735203593217,1.9879871676482785,2.0398490879578652,-0.4411214864987818,-0.47480270385022577,-1.1462970372195733,-0.8917648458173545,0.39486350462514225,-1.3205127084074533,0.0816550194994005,-0.13445835051611735,-2.1497081347605533,-1.1818721903255278,-1.3312047105526408,0.9684332816140465,0.8124964849239358,-0.20523465422451787,1.4108040436259652,0.41830713283748217,-0.3615188834109608,-4.623633943823126,0.40782900395361127,0.35062580398838167,-1.2622163296787625,-0.2752553643392828,-2.1090407660817627,-0.09349515361397874,0.4795883561553922,0.6464832356379008
0.06,1.6508074101515564,0.7868929365940371,-1.9491672557025375,-0.47095107045013646,-0.10689323699161526,-0.27942495857208416,-2.2398120645751525,1.0152082290329807,1.1461955763419653,2.9579887819701747,0.7363197185904631,2.0365412013634177,1.9980779529010668,-0.42691056469246774,-0.49816464108751835,-1.1491470131527146,-0.9103111917721809,0.3762052738775986,-1.3500775223654788,0.04603800705889253,-0.13861236875658564,-2.1669260236836787,-1.1476133328993483,-1.3161216024568656,0.8920607854831074,0.7892431319159018,-0.22776395576176664,1.3832840134377689,0.39745310075359996,-0.3899462173267506,-4.624388604247319,0.4643620048124768,0.3147392915865701,-1.270316664121762,-0.23838643616315974,-2.144994182586778,-0.023115944481984025,0.5084136781302745,0.6748601250211923
0.08,1.7641306027814116,0.7989288888745444,-1.9550572187955364,-0.49374013037811154,-0.1273956477586182,-0.2726544833157197,-2.239371037668992,1.024447158796632,1.1323901018563682,2.9640625334279616,0.710014000741927,2.0873568233417954,1.9246727182209367,-0.4214973969030638,-0.5440193816012737,-1.2073544008297377,-0.9378347856110996,0.37307163972729074,-1.3682105741187007,0.011722435618089723,-0.15244538563159102,-2.21936290280807,-1.0999682276891813,-1.3180025626923757,0.8144590067103231,0.8056448902595771,-0.26085665592519264,1.3575805201761526,0.4332672216794503,-0.4095938935873117,-4.662169468325384,0.49842203050033407,0.32807940126723295,-1.2150724259182106,-0.14978092057023043,-2.1890924583216242,0.1050861617093341,0.5292400908750889,0.7177495523890901
0.1,1.8832210547337165,0.8134164429958088,-1.961794289002433,-0.5277717577184349,-0.14383643637397717,-0.26268051756157573,-2.236748511038219,1.07975672416434,1.1762392356873448,2.9783648074150335,0.6927360769616565,2.1239942105039007,1.8881588643486444,-0.43067767029730714,-0.598988808426574,-1.2736817414748847,-0.9696121694601283,0.37701789135141434,-1.4097677406274514,0.02384540633603027,-0.16550408836335628,-2.2977187115563074,-1.0496005360639522,-1.3289769275644272,0.7957660535424502,0.8289843852473774,-0.3032163386602422,1.3329900841144564,0.44603046521605044,-0.3980526558477346,-4.760270773023771,0.5245515483856864,0.3747368256199945,-1.1431503884832062,-0.061351384089041,-2.2273946527403203,0.2172881789912018,0.5226459356656576,0.7626469658294294
0.12,1.9474759592319355,0.8393026228320483,-1.976225312499162,-0.5377161322222646,-0.14834553046038929,-0.2487716117020052,-2.2376667369006573,1.1209626691638137,1.2802425325076223,2.949617247468505,0.684546888855417,2.1432208326390554,1.9240996475363576,-0.4242623491980919,-0.6377150739812901,-1.2893326214444427,-0.9994978934738533,0.3701362466271627,-1.4625665064237612,0.07735327306886833,-0.16970891822308967,-2.355491003866695,-1.0471382603396038,-1.337174468602597,0.8025872856562692,0.8039778966742196,-0.3357889513268297,1.324950862784713,0.3973650920173097,-0.36949745018502855,-4.828424422716737,0.574664886251451,0.4222197370232767,-1.089199066155796,-0.010086979542090006,-2.2536710452161204,0.24475236240884235,0.4735364914724173,0.7936368541150436
0.14,1.9421671010640649,0.8642542951286872,-1.9964085474552415,-0.5285489814470158,-0.1412792562670658,-0.2320158237954829,-2.2412302018432793,1.081073645102568,1.3670066369178249,2.8960713718034867,0.6742461679484649,2.1477340061112864,1.9972044203381873,-0.3918716022042983,-0.6463245148714907,-1.2703440755232096,-1.0163158582780618,0.353943326904831,-1.485933843507951,0.12392493203183005,-0.17357843541739224,-2.369324943888761,-1.1011994064076511,-1.3387110249615004,0.7672008813648101,0.7453431146367617,-0.3508592591238042,1.3626103416242348,0.35265476789682526,-0.3599831549509896,-4.773425644234773,0.6757809888506521,0.4632944699924487,-1.0660857103287271,-0.003012349844648104,-2.2677299625804763,0.1864340020306159,0.411099737899745,0.80066383405571
0.16,1.912740503564136,0.8687898071195241,-2.0106519696979617,-0.529331734340614,-0.13623344640267065,-0.217165120656423,-2.2407151135667327,0.9498684194388942,1.4004746227520017,2.895654714776264,0.6768629639193806,2.139052151385807,2.071096633338117,-0.3687530941667801,-0.6334107373169586,-1.2728632126924169,-1.021959526453408,0.3426916049181974,-1.4766610754310017,0.13220123918743773,-0.1832125544781742,-2.3669175589802283,-1.1473403422812436,-1.340456216059517,0.699644852602685,0.715283909552825,-0.36863872953581733,1.4570561894422212,0.35811021617941535,-0.38297860555269103,-4.654192041393121,0.8109781379258622,0.5248217203327529,-1.0736222938640092,-0.027685263369741885,-2.2677054341076244,0.09707021002817444,0.39721098412071854,0.7881704479611459
0.18,1.9081454761986592,0.8521817995781849,-2.0121472977648813,-0.5497215890975097,-0.14090448028110314,-0.20699569344111038,-2.23220801775166,0.8020551121214359,1.4972258284230022,2.9630197806119045,0.7214462679718191,2.123599719005983,2.1436927969647908,-0.39063802729433744,-0.6162507436479778,-1.3197538155389277,-1.031767573963274,0.3468097268130837,-1.4612096316925087,0.11592653193027475,-0.19002376983060085,-2.375377396621625,-1.1390070731048065,-1.344671199434379,0.6772474086490265,0.7261028186959966,-0.4086727456130077,1.5651343118100738,0.3826438903736631,-0.4215443162767805,-4.614454705929381,0.9082790859678636,0.6289198274747876,-1.0849511861003405,-0.07058238037857373,-2.2594658990170333,0.02770476514313313,0.4516480872990733,0.7691071552677962
