time_s,trunk_pelvis_x_deg,trunk_pelvis_y_deg,trunk_pelvis_z_deg,lumbar_x_deg,lumbar_y_deg,lumbar_z_deg,chest_z_deg,lumbar_omega_dps,chest_omega_dps,left_knee_x_est_deg,left_knee_y_est_deg,left_knee_z_est_deg,right_knee_x_est_deg,right_knee_y_est_deg,right_knee_z_est_deg,left_ankle_x_est_deg,left_ankle_y_est_deg,left_ankle_z_est_deg,right_ankle_x_est_deg,right_ankle_y_est_deg,right_ankle_z_est_deg,left_shoulder_x_est_deg,left_shoulder_y_est_deg,left_shoulder_z_est_deg,right_shoulder_x_est_deg,right_shoulder_y_est_deg,right_shoulder_z_est_deg,left_elbow_x_est_deg,left_elbow_y_est_deg,left_elbow_z_est_deg,right_elbow_x_est_deg,right_elbow_y_est_deg,right_elbow_z_est_deg,left_hip_x_est_deg,left_hip_y_est_deg,left_hip_z_est_deg,right_hip_x_est_deg,right_hip_y_est_deg,right_hip_z_est_deg
0.0,-0.8337966286655576,-1.2352258622797687,-2.0825052610711707,-0.7050776029711026,1.7949665815166367,-0.8808849281501003,-2.984776509986449,0.473174884679225,1.5882898249652833,3.332772793400277,-0.11261751007521091,0.46678844659689184,8.000418270627097,-2.371046600669568,-0.02466037148753075,-2.319960727687983,4.761639089479266,0.35497269830842193,-4.496011332558809,-0.904407263297058,0.31609677530940417,-3.9495068067045653,-7.570381221754138,-1.5997825040181304,-3.9784132056315635,4.407884661579487,-0.8778662019004371,4.150802831797387,6.534193785614096,-0.26719456164109756,-0.17253676181273583,-6.175391967320068,1.657318209793921,-0.45310597232614286,-6.521785301706793,-0.0007464254400195822,-3.3629334937214383,1.5382471220175926,0.43604659552237457
0.02,-0.8554667093241581,-1.23769743540063,-2.1068772581685633,-0.6887191047464643,1.8283229239078995,-0.8663563240387838,-2.994969005262992,0.5362821747023504,1.3346842985561207,3.3103011456732614,-0.13171810676499995,0.4507641973702347,8.021860822566614,-2.365824180085396,-0.02929847175848924,-2.256725980327155,4.762858633907939,0.3773215365279604,-4.498589931120488,-0.8620217654676312,0.3442752955850864,-3.9105811039949043,-7.644012961552128,-1.5662041450490694,-4.049182215690603,4.3835363185719,-0.8528200256136766,4.093790671138675,6.556200728674957,-0.27545238460314986,-0.13904164961458326,-6.22254179915711,1.636311177524446,-0.5317198982552436,-6.528042912170861,0.0061575122763034675,-3.400351436678755,1.499407730120322,0.41937896512580203
0.04,-0.8771334987548216,-1.2553778205908999,-2.126664703192204,-0.6750149318102876,1.8559282823081154,-0.8535264791298163,-3.002080261594292,0.4649509335384931,1.1948118344840286,3.317911274652443,-0.14859740976035635,0.43285913274060334,7.988517187395151,-2.366484471132469,-0.03344759460213784,-2.2323210745150095,4.764939953734394,0.3959422375988179,-4.472306985762425,-0.8704275049616963,0.34368364483041314,-3.9153425778712436,-7.668944401966697,-1.5482413803548893,-4.088538337565335,4.37813780669516,-0.8412089931364422,4.078299258631758,6.5654221108837945,-0.2739889903406479,-0.12775345580017128,-6.284642553356308,1.6312756596212905,-0.598652722969018,-6.532978588484411,0.012698229188267868,-3.4062991109890084,1.4773440834688694,0.41141285264778643
0.06,-0.8908326874298542,-1.2791936019481338,-2.1426452019587297,-0.6748686613342767,1.87627335636809,-0.8434098889068583,-3.007758276170897,0.35769902751055865,1.163832598777822,3.368565533383342,-0.1365322163594482,0.4210035276075193,7.910471382529581,-2.3794892003782273,-0.034584282559925295,-2.2644965654345115,4.750740794023614,0.398165799587097,-4.400882559550448,-0.9334631925148462,0.3198506792471842,-3.967281517834343,-7.650301231573379,-1.5433173957962,-4.080960813239412,4.387682342212056,-0.8452082340154895,4.109300703910265,6.5466920887828675,-0.2604675717583238,-0.14359464398605865,-6.360515051483983,1.6435508074249243,-0.6352226792085967,-6.553309502527303,0.01516896662381055,-3.3911545332070374,1.4853823982532983,0.40803130136658555
0.08,-0.8817937334996614,-1.2674138441533263,-2.1551355722806145,-0.6952821524515893,1.8749182336001242,-0.8396466760746966,-3.0162407517549683,0.37715504003015815,1.1762440805231933,3.436612443576465,-0.0916458831304319,0.42284702880361374,7.859208570070724,-2.3996773628905577,-0.03142067379548568,-2.3322609510505865,4.71722432033295,0.37863527857639045,-4.334792406598638,-0.9979573687723051,0.30259538471231984,-4.022286993836347,-7.641352060363886,-1.534124333320715,-4.045118383210232,4.3869524179219095,-0.8561297363301887,4.151626112793228,6.512554507419699,-0.2508677971515062,-0.1697999800576834,-6.416381674232907,1.6601811125326515,-0.6206542189788499,-6.5765954471803925,0.0123904765298163,-3.3738298510888716,1.5314886632990286,0.4065282089732491
0.1,-0.8523915050979674,-1.2094545018799334,-2.167322796772385,-0.7314429781026961,1.8510563547742318,-0.8404166024951089,-3.0291200838537695,0.5145211050001289,1.1684902564461273,3.4606920963970573,-0.041785268250550796,0.43581518149622506,7.87422273448398,-2.4092871379627794,-0.029025582886517368,-2.3895535035396813,4.6842471779887305,0.35343075865794044,-4.342142965499893,-1.0181319501585915,0.30302400039699584,-4.026386338716652,-7.666299456663619,-1.5115631523068374,-4.000803594473243,4.36093568838326,-0.8659921808185497,4.167006279712985,6.484681905558429,-0.2642231222848094,-0.18989086908365205,-6.418293765094794,1.6759420713832347,-0.5420804048667355,-6.582752989453047,0.0007267457263356882,-3.3470956914422887,1.5883804223597837,0.4093716783312997
0.12,-0.8184978702835902,-1.173035201372277,-2.185535628918638,-0.7731285790375911,1.8430174032259745,-0.8338975260935664,-3.040395781505602,0.5939669734808879,1.135944202149259,3.3938730486195117,-0.010963422273967181,0.45041500736481316,7.923003543832334,-2.396877902140609,-0.035565651525442346,-2.3929338990943054,4.675199806958889,0.3503170394551122,-4.412025071686936,-0.9932590775347033,0.3110226443057397,-3.9691924148918467,-7.680248103261562,-1.4866202958291201,-3.941730212130818,4.331010544941806,-0.8766182935212817,4.142894966071979,6.469491727423782,-0.30118675622943525,-0.21783286766167928,-6.36872703209908,1.6984797716549633,-0.4186365318156356,-6.593715309487737,-0.027054027148536657,-3.3044086220113416,1.5907200412854083,0.4108344642121396
0.14,-0.7898635046390936,-1.216660725129896,-2.2091521696817966,-0.8070926788923091,1.8811891113233636,-0.8137309745226061,-3.042695616931061,0.5373548579289247,1.1519841352258762,3.2803823648260724,-0.012241986522052736,0.45905361501540565,7.963777711454686,-2.3741189180215576,-0.05138615592546525,-2.338988856133014,4.6943358717054595,0.37306328242748205,-4.4676961604364696,-0.9501864969275041,0.3215572198853739,-3.8959187971732256,-7.647079727852862,-1.4751309537222574,-3.8745100865917093,4.333117580026018,-0.8903056109328884,4.094306178906725,6.464554583623983,-0.34223738282874944,-0.27832310207020633,-6.309199741403007,1.71872568468497,-0.3229572546532893,-6.629591146838261,-0.0636603776611298,-3.2720700353488903,1.5119766669541717,0.40048165381346673
0.16,-0.7644749121777273,-1.292439783595543,-2.2253465332917877,-0.8278184379317023,1.9302855172393598,-0.7935805519222084,-3.0374934790673267,0.447360263576796,1.2259312537136882,3.2388296230249636,-0.04933074734703024,0.46106759595017605,8.002186253582751,-2.3593608738438205,-0.06470161714867488,-2.2879824395286446,4.715776215477238,0.3904267764473965,-4.474902370508975,-0.9217895462569223,0.33016210006150687,-3.8590873102371224,-7.605876287801293,-1.4797050810964132,-3.851267572785021,4.370057335472538,-0.8982830649626744,4.062187410732945,6.469097225051669,-0.3684955899172371,-0.3403929942043576,-6.275853479150901,1.7109366162243964,-0.3181853834102672,-6.646771023857633,-0.08397644364040326,-3.2793615817267994,1.417952917519128,0.3828518015295088
0.18,-0.7306418607631955,-1.3072415493859897,-2.2210899301484557,-0.8398175900696658,1.9261754179848705,-0.7932300632716107,-3.032544962424233,0.4201179940326552,1.249313910842162,3.308847413694595,-0.11224121833840278,0.4582480676269377,8.049565010282015,-2.351761477198493,-0.06484786689702449,-2.2999617810050474,4.718459448774535,0.3836945566004032,-4.463985246756632,-0.9208458987557465,0.32972645781498594,-3.8926607003903246,-7.608813655951515,-1.4896974465265695,-3.916790483070576,4.412678665599535,-0.8927753307094534,4.094338952394025,6.4814551895378365,-0.37764299553709224,-0.3350631697154698,-6.263472988563159,1.6783519815702415,-0.37274760984098715,-6.585426147008325,-0.07355510258843895,-3.318087338932165,1.3958302707958972,0.3761987390786652
