trial,recording,n_segments,total_segmented_s,duration_mean_s,duration_sd_s,duration_cv,chest_yaw_excursion_mean_deg,chest_yaw_excursion_cv,log10_dimensionless_jerk_mean,log10_dimensionless_jerk_sd,sparc_mean,sparc_sd,submovement_rate_mean_hz,submovement_rate_sd_hz,chest_pelvis_lag_mean_s,chest_pelvis_lag_sd_s,chest_pelvis_peak_cross_correlation_mean,chest_pelvis_gain_mean,chest_pelvis_gain_cv,relative_yaw_range_mean_deg,waveform_mean_sd_deg,waveform_variance_ratio
Novice,IMU_Trial_1_RC_Novice.csv,13,149.60968803122495,11.508437540863458,3.7011374957550114,0.3216020839156695,87.32170603079854,0.2555239219858748,7.894289327126513,0.7367992585721111,-3.127361479187061,0.4565740691407833,0.8568044339118219,0.21935393629155844,-0.21267690606277057,0.138571439520378,0.9486505866581478,0.5882411209732639,0.14946218680637252,51.495267370069726,17.258423944235993,0.4462058722764308
Trained,IMU_Trial_3_RC_Trained.csv,13,145.28698837704093,11.175922182849302,3.9850725684728046,0.35657662099583537,84.25290540929899,0.2882478616600528,7.808066944845686,0.9198917717127553,-3.5853461876184864,0.7996605023599211,0.8850378741842094,0.1444700047436399,-0.134584604617847,0.137606631552514,0.9554191640054893,0.5531840515220633,0.19725404972018706,45.494865871082,13.486469881520904,0.2497796784981729
