trial,recording,metrics_version,event_id,event_start_s,event_end_s,event_duration_s,stabilization_start_s,stabilization_end_s,trunk_pelvis_yaw_r,trunk_pelvis_lag_s,trunk_yaw_sparc,trunk_yaw_excursion_deg,trunk_yaw_peak_rate_dps,lumbar_ml_acc_rms_mps2,lumbar_ap_acc_rms_mps2,lumbar_frontal_tilt_sd_deg,lumbar_sagittal_tilt_sd_deg,lumbar_rms_angular_velocity_dps,lumbar_corrective_peak_rate_hz,stabilization_quiet_z
Novice,IMU_Trial_1_RC_Novice.csv,2,trunk-01,66.76019465918442,70.00289439976845,3.2426997405840208,70.00289439976845,73.00259415979247,0.9926278371988866,-0.16796982581453898,-2.73919576405245,56.636598556850565,30.085796531995918,0.4727117864976256,0.18044038287446226,1.8135250696082743,1.1839446182605227,22.1266506031116,0.666733393339334,3.1501545128197987
Trained,IMU_Trial_3_RC_Trained.csv,2,trunk-01,62.8721949702244,69.26579445873644,6.393599488512041,70.10549439156044,73.10519415158447,0.9815169132848581,-0.17526339499876403,-3.09792388367602,49.32564838564006,31.04681893756203,0.19129141636143626,0.11473118222984083,2.035095563784726,2.3736406346931114,15.365562005853638,0.0,2.2822299596619824
Novice,IMU_Trial_1_RC_Novice.csv,2,trunk-02,88.50329291973657,92.41559260675258,3.912299687016025,92.41559260675258,95.41529236677661,0.9975906042421812,-0.36817220128609995,-2.3560287179917214,59.2174240510776,33.41032161478731,0.08362869646974204,0.04658466577889821,0.5472224513614591,1.9576757777602853,14.866122836971135,0.0,2.5076580647505833
Trained,IMU_Trial_3_RC_Trained.csv,2,trunk-02,84.62069323034454,89.25929285925656,4.638599628912029,90.79829273613657,93.79799249616059,0.9973189557806551,-0.25825464681157045,-2.3687385953941127,54.35771573160832,27.44340458535176,0.08277137886557241,0.04310304034574522,0.9629464886907707,0.4928280319634359,12.396515760483585,0.0,2.1094818798645902
Novice,IMU_Trial_1_RC_Novice.csv,2,trunk-03,92.6747925860166,97.02179223825662,4.346999652240028,98.81729209461663,101.81699185464065,0.9961556761916411,-0.39245298000651785,-1.7091271929950853,49.528203022525254,19.724508308461623,0.3917869617080004,0.12950232183902566,2.801238076455803,1.994147155098669,13.552316583481552,0.333366696669667,1.934579024590228
Trained,IMU_Trial_3_RC_Trained.csv,2,trunk-03,89.50499283960058,93.5198925184086,4.014899678808026,93.5198925184086,96.51959227843261,0.9978109269750388,-0.312843051533276,-2.067921992761194,43.07437943332781,21.41088402868347,0.15722759264834785,0.05488224402745763,1.7477716424103742,1.6931957208035984,15.874601005010131,0.0,2.7040483599110376
Novice,IMU_Trial_1_RC_Novice.csv,2,trunk-04,118.42739052580875,122.34779021217678,3.920399686368025,122.34779021217678,125.34748997220079,0.986407993571936,-0.44581194447042044,-2.442901493139,41.358507023662,18.27455436763824,0.3616276776985854,0.07090071011690396,0.9164080369750407,0.5041224292612987,11.38836685753463,0.0,2.0186556433704594
Trained,IMU_Trial_3_RC_Trained.csv,2,trunk-04,114.53669083706473,118.38689052904876,3.8501996919840247,118.38689052904876,121.38659028907277,0.9817735110641138,-0.3791698255840162,-2.189944728517604,45.020858529104686,21.645407080640886,0.48432731693194303,0.1021612699686392,1.3668598824320641,0.39030546111400977,13.48710768459537,0.0,2.4731743539829703
Novice,IMU_Trial_1_RC_Novice.csv,2,trunk-05,170.9180863265531,173.1428861485691,2.2247998220160143,175.31368597490513,178.31338573492914,0.992676900812803,-0.3029139122373776,-1.6909484537537307,42.92486919430735,41.375584861741544,0.1533233351338135,0.08888246550771944,0.7719456256060432,3.0337045787218435,6.687766358287084,0.0,0.9816513244890245
Trained,IMU_Trial_3_RC_Trained.csv,2,trunk-05,167.33518661318507,170.99098632072108,3.655799707536023,172.1006862319451,175.10038599196912,0.9883478893629337,-0.2277543680581706,-2.2962979600396416,37.67877055961259,26.782303350517424,0.09287297493762817,0.07844476748490549,0.5172940063565376,1.6033318130569614,4.015905189017004,0.0,0.8625994392327859
Novice,IMU_Trial_1_RC_Novice.csv,2,trunk-06,195.55558435555324,198.80098409592125,3.2453997403680206,200.95828392333726,203.9579836833613,0.9966045103504612,-0.24391692119774214,-1.8956368856955952,41.18851563996442,24.743156200450457,0.21813750610613783,0.13123372145072149,1.0207171493507194,2.2753389015516037,10.530058935718499,0.333366696669667,0.85957201674667
Trained,IMU_Trial_3_RC_Trained.csv,2,trunk-06,191.60278467177721,195.40438436764924,3.801599695872024,197.41858420651326,200.41828396653727,0.9933672140245655,-0.2801652953193511,-1.9930390118012071,41.580914648830436,27.684578896409484,0.09292000687702054,0.07694851864948488,0.707017443846741,2.3551079455851855,8.476197790413782,0.0,0.9585346594628005
