trial,recording,metrics_version,event_id,lifted_leg,stance_leg,support_duration_s,peak_lift_index,peak_knee_flexion_deg,knee_extension_while_lifted_deg,peak_hip_flexion_deg,lumbar_frontal_tilt_at_peak_deg,support_ml_acc_rms_mps2,support_ap_acc_rms_mps2,support_frontal_tilt_sd_deg,support_sagittal_tilt_sd_deg,support_rms_angular_velocity_dps,support_corrective_peak_rate_hz,settle_ml_acc_rms_mps2,settle_ap_acc_rms_mps2,settle_frontal_tilt_sd_deg,settle_sagittal_tilt_sd_deg,settle_rms_angular_velocity_dps,settle_corrective_peak_rate_hz,time_to_stabilization_s,stabilization_quiet_z,trunk_pelvis_yaw_r,trunk_pelvis_lag_s,trunk_pelvis_frontal_r,trunk_pelvis_frontal_lag_s
Novice,IMU_Trial_1_RC_Novice.csv,2,knee-02,Left,Right,5.167799586576033,0.8954496772228552,89.89482278291894,15.552781408430874,78.8850453904485,-6.9715676842052225,0.17570194107462,0.07080945019336507,0.8314731723504761,2.3926176339015517,6.745991880039952,0.0,0.09532563315871624,0.06814881744320905,1.090607496232075,0.45905519538494116,4.962459317354101,0.0,0.02699999784000017,0.17439284147297937,-0.29500933909914206,0.07714579641630777,0.5081785426050563,
Trained,IMU_Trial_3_RC_Trained.csv,2,knee-02,Left,Right,4.476599641872029,0.8956063962101972,88.30030346725397,22.28868860169375,80.00076968129011,-9.754874967806085,0.1434492884017945,0.05981805284410565,1.0898495961100199,1.2755461220804947,5.243759678911099,0.0,0.11754378758866872,0.06092768987931167,2.954036465551509,1.1336748245298518,6.7571202870233575,0.0,0.3617999710560023,0.2956169949292276,0.9384522542938808,-0.07359199610871922,0.6777812452465215,0.6546914489742052
Novice,IMU_Trial_1_RC_Novice.csv,2,knee-03,Right,Left,3.7961996963040243,0.8820033425182567,104.01052433643999,25.424249473158312,90.69283529129694,7.730907022523114,0.16494746054367002,0.06261449123934934,1.3702411130162784,1.4955193264124453,6.457827266291913,0.0,0.2635942362467238,0.12836494486329567,2.114876817340935,0.8818838820228395,7.9878290148519735,0.0,0.41309996695200263,0.4991054027409309,0.8715500238387197,0.08225971541861456,0.6344004783088288,0.2719008238945674
Trained,IMU_Trial_3_RC_Trained.csv,2,knee-03,Right,Left,4.139099668872026,1.0178259442708246,83.58152219701036,13.98071832357563,86.28210567006701,5.90324831618483,0.09560788894958554,0.04784709548513352,0.29428729821098193,1.3944011518431998,4.241627048663879,0.0,0.3148708224059872,0.14781373039876125,2.223068166054794,0.6138838329381865,9.194029111512224,0.0,0.5102999591760032,0.6568921863707065,0.7684415763566328,,-0.04193677799678952,0.22060598142848406
Novice,IMU_Trial_1_RC_Novice.csv,2,knee-04,Left,Right,6.787799456976043,1.4551131338719385,96.53792945389054,63.176363297980366,93.2822553931378,-12.697309865395509,0.2806453476510898,0.12364909195469925,3.565849837955773,5.267158848674531,9.12663298157651,0.0,0.15360280695061013,0.14683872395747807,2.393325763821675,1.195584920095107,8.736168893755446,0.0,0.34019997278400216,0.8036651037499825,0.17452028996713484,0.9369508047146893,0.49017733066925306,0.8035570188926588
Trained,IMU_Trial_3_RC_Trained.csv,2,knee-04,Left,Right,6.685199465184042,1.573067526268443,99.30801280448082,69.62245782672979,94.46960163359974,-13.840206348041779,0.2615654900393712,0.10575685908649735,2.34331882069262,5.203047694654961,8.588967368195911,0.0,0.14880533045944305,0.07318432760929566,1.2804226931301268,1.391784728949591,7.457843346422618,0.0,0.8720999302320055,0.5631649033544759,-0.14260132685572655,,0.8220726179396672,0.9384572309105556
Novice,IMU_Trial_1_RC_Novice.csv,2,knee-05,Right,Left,6.34499949240004,1.3821583342591408,115.45316699495663,99.30051486324086,110.88870341852244,12.620270752652216,0.23713679116822053,0.10609773794521625,1.505202165730721,4.362841496221252,12.685320805101254,0.1576044255319149,0.20756961444205876,0.10171511321316341,1.484375324311334,0.8016780573142515,5.889378941609432,0.0,0.4346999652240028,0.3848658938766384,0.9755007264938972,-0.0051834556643719385,0.7206537198410138,
Trained,IMU_Trial_3_RC_Trained.csv,2,knee-05,Right,Left,6.7148994628080425,1.319816004627652,85.3930172275149,64.23086643139628,85.31141635315099,8.410408819671414,0.18271372229649116,0.07883662137496909,0.8721081456674805,4.804488494597306,8.01809766112923,0.0,0.225088110525547,0.1509692461777901,3.166716917766282,0.7112000401809219,15.152439767418743,0.30111414634146344,0.472499962200003,1.8247924288258783,0.5537838882084954,0.6395171632853118,0.4516217063458933,
