metrics_version,family,metric,n_pairs,novice_median,trained_median,median_difference,difference_q25,difference_q75,trained_higher_fraction
2,trunk rotation,trunk_pelvis_lag_s,6,-0.3355430567617388,-0.26920997106546074,0.07090083153280564,0.011190352833432275,0.07849733239973314,0.6666666666666666
2,trunk rotation,trunk_yaw_sparc,6,-2.125832801843658,-2.243121344278623,-0.22806512286459113,-0.35877812973047396,-0.033882939578196436,0.16666666666666666
2,trunk rotation,trunk_yaw_excursion_deg,6,46.2265361084163,44.047618981216246,-5.052903477082019,-6.151892350571771,-0.9206278232178082,0.3333333333333333
2,trunk rotation,lumbar_ml_acc_rms_mps2,6,0.2898825919023616,0.12507379976268418,-0.09283392971265131,-0.20722390160201876,-0.015755578252173552,0.16666666666666666
2,trunk rotation,lumbar_ap_acc_rms_mps2,6,0.10919239367337255,0.07769664306719518,-0.03236145041202528,-0.06285320118377523,-0.005220643580568229,0.16666666666666666
2,trunk rotation,lumbar_frontal_tilt_sd_deg,6,0.9685625931628801,1.1649031855614174,-0.016540562536526915,-0.29893768394036024,0.36718565154109667,0.5
2,trunk rotation,lumbar_sagittal_tilt_sd_deg,6,1.9759114664294772,1.6482637669302798,-0.20738420122117973,-1.1480174328224293,0.03137254098836417,0.3333333333333333
2,trunk rotation,lumbar_rms_angular_velocity_dps,6,12.470341720508092,12.941811722539477,-2.2617341108961337,-2.621297646074448,1.0605903339693765,0.3333333333333333
2,single-leg stance,support_duration_s,4,5.7563995394880365,5.5808995535280355,0.12014999038800034,-0.24974998002000182,0.34964997202800185,0.5
2,single-leg stance,peak_lift_index,4,1.138804005740998,1.1688209744492384,0.05905555569192328,-0.015468043167365692,0.12242144473552036,0.75
2,single-leg stance,peak_knee_flexion_deg,4,100.27422689516527,86.84666034738444,-11.011760727547298,-22.836789046432653,-0.5033686491011551,0.25
2,single-leg stance,support_ml_acc_rms_mps2,4,0.20641936612142026,0.16308150534914284,-0.04333786077227744,-0.058152194552318154,-0.028959453907548782,0.0
2,single-leg stance,support_ap_acc_rms_mps2,4,0.08845359406929065,0.06932733710953737,-0.016329814311208862,-0.02023445379371322,-0.013823396152976718,0.0
2,single-leg stance,support_frontal_tilt_sd_deg,4,1.4377216393734997,0.9809788708887501,-0.8545239174342685,-1.1125981154197606,-0.4102264091075445,0.25
2,single-leg stance,support_sagittal_tilt_sd_deg,4,3.3777295650614017,3.099444823220253,-0.08261466429440778,-0.3551065088821984,0.06232838407933605,0.25
2,single-leg stance,support_rms_angular_velocity_dps,4,7.936312430808231,6.630928670020165,-1.8592162093784435,-2.828955949214031,-1.2610905541917896,0.0
2,single-leg stance,settle_ml_acc_rms_mps2,4,0.18058621069633446,0.18694672049249503,0.01986832525672036,0.01193950293982441,0.02948276236228021,0.75
2,single-leg stance,time_to_stabilization_s,4,0.37664996986800237,0.4913999606880031,0.21599998272000137,0.08234999341200051,0.3840749692740024,1.0
2,turn,turn_duration_s,28,4.542749636580028,4.383449649324028,-0.04319999654399975,-0.5190749584740029,0.21667498266600138,0.4642857142857143
2,turn,chest_yaw_excursion_deg,28,86.86244757245285,80.9065662696837,-4.00906283872223,-8.473801102246219,0.552868348115803,0.25
2,turn,chest_yaw_peak_rate_dps,28,36.75060628779163,40.50275966879178,-0.922865433176927,-7.701170869048184,4.474593884501978,0.4642857142857143
2,turn,chest_yaw_sparc,28,-1.934774760087957,-1.7907318675035155,0.10083469821722846,0.03369261123996975,0.3068275645224928,0.8571428571428571
2,turn,chest_yaw_submovement_rate_hz,28,0.8657648239148239,0.801897707722958,-0.04413147905313902,-0.3313881657467609,0.13473172655546933,0.42857142857142855
2,turn,chest_pelvis_lag_s,28,-0.28954154489862016,-0.24848232629140377,0.07236649540056285,-0.029830795083352735,0.10103107921812225,0.6785714285714286
2,turn,chest_pelvis_gain,28,0.5668367469884116,0.5513579800236916,-0.0193770501630795,-0.08093291528075423,0.04029705682892171,0.42857142857142855
2,turn,relative_yaw_range_deg,28,42.345315651170395,40.72237810314182,-2.1535840703806315,-5.550791412120244,1.8397296218876313,0.32142857142857145
