trial,recording,metrics_version,event_id,lifted_leg,stance_leg,window_start_s,window_end_s,peak_time_s,peak_lift_index,peak_knee_flexion_deg,stabilization_start_s,stabilization_end_s
Novice,IMU_Trial_1_RC_Novice.csv,2,knee-02,Left,Right,127.09708983223281,132.26488941880885,128.92768968578483,0.8954496772228552,89.89482278291894,132.29188941664884,133.95508928359286
Novice,IMU_Trial_1_RC_Novice.csv,2,knee-03,Right,Left,135.01348919892087,138.8096888952249,136.24468910042486,0.8820033425182567,104.01052433643999,139.22278886217688,141.6527886677769
Novice,IMU_Trial_1_RC_Novice.csv,2,knee-04,Left,Right,141.7823886574089,148.57018811438493,145.99438832044893,1.4551131338719385,96.53792945389054,148.91038808716894,151.62388787008896
Novice,IMU_Trial_1_RC_Novice.csv,2,knee-05,Right,Left,151.76968785842496,158.114687350825,155.663087546953,1.3821583342591408,115.45316699495663,158.549387316049,162.53998699680102
Trained,IMU_Trial_3_RC_Trained.csv,2,knee-02,Left,Right,123.06599015472078,127.54258979659281,125.6039899516808,0.8956063962101972,88.30030346725397,127.90438976764881,129.95908960327282
Trained,IMU_Trial_3_RC_Trained.csv,2,knee-03,Right,Left,131.28748949700082,135.42658916587285,132.37558940995285,1.0178259442708246,83.58152219701036,135.93688912504885,137.9888889608889
Trained,IMU_Trial_3_RC_Trained.csv,2,knee-04,Left,Right,138.73408890127288,145.41928836645693,142.50598859952092,1.573067526268443,99.30801280448082,146.29138829668892,149.06968807442496
Trained,IMU_Trial_3_RC_Trained.csv,2,knee-05,Right,Left,149.60698803144095,156.32188749424898,154.03498767720097,1.319816004627652,85.3930172275149,156.794387456449,160.115387190769
