trial,recording,metrics_version,event_id,event_start_s,event_end_s,event_peak_s,stabilization_start_s,stabilization_end_s
Novice,IMU_Trial_1_RC_Novice.csv,2,trunk-01,66.76019465918442,70.00289439976845,70.00019439998445,70.00289439976845,73.00259415979247
Novice,IMU_Trial_1_RC_Novice.csv,2,trunk-02,88.50329291973657,92.41559260675258,92.41289260696858,92.41559260675258,95.41529236677661
Novice,IMU_Trial_1_RC_Novice.csv,2,trunk-03,92.6747925860166,97.02179223825662,97.01909223847261,98.81729209461663,101.81699185464065
Novice,IMU_Trial_1_RC_Novice.csv,2,trunk-04,118.42739052580875,122.34779021217678,118.45169052386476,122.34779021217678,125.34748997220079
Novice,IMU_Trial_1_RC_Novice.csv,2,trunk-05,170.9180863265531,173.1428861485691,173.1401861487851,175.31368597490513,178.31338573492914
Novice,IMU_Trial_1_RC_Novice.csv,2,trunk-06,195.55558435555324,198.80098409592125,198.79828409613725,200.95828392333726,203.9579836833613
Trained,IMU_Trial_3_RC_Trained.csv,2,trunk-01,62.8721949702244,69.26579445873644,,70.10549439156044,73.10519415158447
Trained,IMU_Trial_3_RC_Trained.csv,2,trunk-02,84.62069323034454,89.25929285925656,,90.79829273613657,93.79799249616059
Trained,IMU_Trial_3_RC_Trained.csv,2,trunk-03,89.50499283960058,93.5198925184086,,93.5198925184086,96.51959227843261
Trained,IMU_Trial_3_RC_Trained.csv,2,trunk-04,114.53669083706473,118.38689052904876,,118.38689052904876,121.38659028907277
Trained,IMU_Trial_3_RC_Trained.csv,2,trunk-05,167.33518661318507,170.99098632072108,,172.1006862319451,175.10038599196912
Trained,IMU_Trial_3_RC_Trained.csv,2,trunk-06,191.60278467177721,195.40438436764924,,197.41858420651326,200.41828396653727
