trial,event_index,event_start_s,event_end_s,event_peak_s,stabilization_start_s,stabilization_end_s
Novice,1,41.210096703192264,46.715396262768294,41.25059669995226,46.8503962519683,48.91589608672831
Novice,2,62.8208949743284,65.26979477841641,65.26709477863241,65.53439475724842,67.20299462376043
Novice,3,73.87739408980848,76.28849389692049,76.27499389800049,76.67729386581648,78.7076937033845
Novice,4,97.19729222421661,99.81089201512863,99.80819201534463,100.19699198424064,103.19669174426465
Novice,5,119.15639046748876,121.12199031024078,119.15639046748876,121.51349027892077,123.54119011670478
Novice,6,199.01428407885726,201.04738391620927,201.04468391642527,201.43078388553727,204.04438367644929
Trained,1,38.06459695483224,43.372796530176274,,43.372796530176274,46.372496290200296
Trained,2,59.50259523979238,61.47359508211239,,61.50599507952039,63.5579949153604
Trained,3,70.77779433777646,72.95129416389646,,73.40219412782447,75.45149396388048
Trained,4,89.50499283960058,93.5198925184086,,93.5198925184086,96.51959227843261
Trained,5,114.46379084289673,118.12499055000075,,118.50299051976076,120.55499035560076
Trained,6,195.77428433805724,199.00888407928926,,199.17088406632928,202.1705838263533
