trial,event_index,event_start_s,event_end_s,event_peak_s,stabilization_start_s,stabilization_end_s
Novice,1,46.9664962426803,54.96389560288835,54.96119560310435,56.375995489920356,58.37399533008037
Novice,2,62.9504949639604,70.94789432416844,70.18379438529645,71.57969427362445,73.57769411378447
Novice,3,84.92849320572054,92.92589256592859,92.59649259228058,96.13619230910462,98.13419214926462
Novice,4,97.91549216676063,105.91289152696868,100.32929197365664,111.65309106775271,113.65109090791272
Novice,5,169.8434864125211,177.84088577272914,173.1914861446811,182.97628536189717,184.9742852020572
Novice,6,184.82848521372117,192.82588457392922,184.82848521372117,194.64028442877725,196.63828426893724
Trained,1,42.970496562360275,50.967895922568324,,57.31019541518437,59.30819525534438
Trained,2,58.959895283208375,66.95729464341643,,68.22359454211244,70.22159438227244
Trained,3,80.94329352453651,88.94069288474456,,92.7962925762966,94.7942924164566
Trained,4,93.9356924851446,101.93309184535265,,108.11339135092868,110.1113911910887
Trained,5,165.86908673047304,173.8664860906811,,173.8664860906811,175.8644859308411
Trained,6,181.85848545132114,189.8558848115292,,192.08608463311322,194.08408447327324
