trial,event_start_s,event_end_s,stabilization_start_s,stabilization_end_s,trunk_pelvis_peak_cross_correlation,trunk_pelvis_lag_s,weight_shift_dimensionless_jerk,weight_shift_log10_dimensionless_jerk,lumbar_orientation_variability_deg,lumbar_ap_acc_variance_g2,lumbar_ml_acc_variance_g2,corrective_lumbar_angular_velocity_peak_count,largest_corrective_lumbar_angular_velocity_dps,corrective_peak_rate_hz,lumbar_rms_angular_velocity_dps
Novice,41.210096703192264,46.715396262768294,46.8503962519683,48.91589608672831,0.9988815843273853,-0.08909999287200057,232538048.43806285,8.366494023353951,4.827090378155651,0.00027642628371030815,0.0003209786227106673,0,23.073143228773187,0.0,11.727221258398002
Trained,38.06459695483224,43.372796530176274,43.372796530176274,46.372496290200296,0.9983160808162929,-0.13769998898400088,197221464.06049952,8.294954178433608,7.7803731781105885,0.0029103592494951905,0.000559143260561341,0,18.275138528396763,0.0,11.657376551597885
Novice,62.8208949743284,65.26979477841641,65.53439475724842,67.20299462376043,1.0107286256448431,-0.4022999678160026,1294026.1326770068,6.111943046937644,1.1371925410197716,0.0004132266000271511,0.00024887967007420297,0,11.836827378253894,0.0,7.958713359336309
Trained,59.50259523979238,61.47359508211239,61.50599507952039,63.5579949153604,0.9966880784689405,-0.2213999822880014,263147.7008725457,5.420199579929095,1.3418597120643332,0.0001311039846650496,8.920412577983768e-05,0,15.95891986322115,0.0,9.881059146039107
Novice,73.87739408980848,76.28849389692049,76.67729386581648,78.7076937033845,0.9863473229062237,-0.10259999179200065,1423775.7925396126,6.1534416046595295,4.89891441822102,0.0009436967939812357,0.002383259524095035,0,50.33005824997448,0.9850276595744681,24.416102032181705
Trained,70.77779433777646,72.95129416389646,73.40219412782447,75.45149396388048,0.9858722292327767,0.0,259358.49121909405,5.413900471065792,4.551166538161495,0.0017165753721991748,0.002610468205072312,0,42.99111626470337,0.48797154150197636,22.510500706419382
Novice,97.19729222421661,99.81089201512863,100.19699198424064,103.19669174426465,1.04110439799025,-0.5399999568000035,2852358.1055000992,6.455204049047805,4.417599974872142,0.0013873408846209424,0.001326203739379279,0,22.731022769127286,0.0,15.766131209746003
Trained,89.50499283960058,93.5198925184086,93.5198925184086,96.51959227843261,1.0191560378629274,-0.4103999671680026,47590219.14816422,7.677517704685694,7.69023110873077,0.001523774547497807,0.0008232914052133822,0,21.418574741220134,0.0,11.944981566943012
Novice,119.15639046748876,121.12199031024078,121.51349027892077,123.54119011670478,0.9501166123676693,-0.5615999550720036,3338089.670167008,6.523497998830843,3.8115019883211794,0.007057569581125053,0.00013817263748166461,1,24.154324588787244,0.0,14.278727118486627
Trained,114.46379084289673,118.12499055000075,118.50299051976076,120.55499035560076,0.978431252100857,-0.5210999583120033,188423734.1950822,8.275135606422598,4.465618215632245,0.005240452168544549,0.00015345216438489125,0,20.972871713723222,0.0,12.508675911284127
Novice,199.01428407885726,201.04738391620927,201.43078388553727,204.04438367644929,1.0028268286236948,-0.2510999799120016,139071.0419315872,5.143236708435033,2.2085307009091744,0.0005582366562271084,0.0022792704233687462,2,18.09630086278265,0.0,8.994193224043217
Trained,195.77428433805724,199.00888407928926,199.17088406632928,202.1705838263533,1.022033734884017,-0.3293999736480021,2592364.0475203474,6.41369598976314,4.214965924016335,0.001328151120519003,0.011371532930950794,0,17.806131057979016,0.0,12.729639572921705
